Upgrade.Package,Number.of.Commits,Number.of.changed.modules,Number.of.Modules.with.no.Commit.info,Module,Module.Alias,No.Commit.Info,Internal.TRs,Internal.real.TRs,Open.Internal.TRs,Internal.Duplicates,External.TRs,Real.External.TRs,Open.external.TRs,External.Duplicates,Invalid.Internal.TRs,Invalid.External.TRs,Positive.size.delta,Negative.size.delta,Number.of.unique.passed.test.cases,Type,DS.Code,Rel.to.Customer,Label,Release.Type,Number.of.files,Language,File.Complexity,Function.Complexity,Class.Complexity,lines,ncloc,Number.of.all.corrected.TRs,File.correct.TR,Created,Corrected.TRs.Internal,Corrected.TRs.External,Reported.TRs.Internal,Reported.TRs.External,Revert,Total.number.of.modules,Fake.UP,No.of.TRs.using.fake.UP,Development.TR,Rows.Added,Rows.Removed,Customer.Rel.Type,Type.of.Change,Test.Focus,Number.of.users,Repository,CL,No.of.users.on.file,No.of.commits.on.file,code_smells,classes,cognitive_complexity,duplicated_blocks,Modules_changed_Ratio,Num.LMCs.in.int-g2,Num.LMCs.in.empty_repo,Num.LMCs.in.wrat,Num.LMCs.in.common-grat,Num.LMCs.in.bbi,Num.LMCs.in.ncmain,Num.LMCs.in.sup,Num.LMCs.in.lrat,Num.LMCs.in.tn-comps,Num.LMCs.in.sync,Num.LMCs.in.pm_fwk,Num.LMCs.in.nci,Num.LMCs.in.oamImmHandler,Num.LMCs.in.oamcli,Num.LMCs.in.oamgui,Num.LMCs.in.racoam,Num.LMCs.in.bb,Num.LMCs.in.rcs-yocto,Num.LMCs.in.rcs-test,Num.LMCs.in.rbsiw1,Num.LMCs.in.ebb,Num.LMCs.in.common_hcms_rules,Num.LMCs.in.dfl-mgr,Number.of.Total.Files,Number.of.M.files,Number.of.A.files,Number.of.M+A.Files,Number.of.D.files,Number.of.E.files,Files.We.Are.Scanning,Num.files.empty,Num.files.c++,Num.files.xml,Num.files.cs,Num.files.py,Num.files.php,Num.files.java,Num.files.js,DuplicateLMCs,FilesFromDuplicateLMCs,DuplicateFilesSharingCommits,NumberOfIdentifiedNoisyFiles,Final.Positive.size.delta,Final.Negative.size.delta,Final.File.Complexity,Final.Function.Complexity,Final.Class.Complexity,Final.lines,Final.ncloc,Final.code_smells,Final.cognitive_complexity,Final.classes,Final.duplicated_blocks,Final.No.of.users.on.file,Final.No.of.commits.on.file,Final.Files.Post.Duplicate.Noisy,Final.Number.of.M.files,Final.Number.of.A.files,Final.Number.of.M+A.Files,Final.Number.of.D.files,Final.Number.of.E.files,Final.Rows.Added,Final.Rows.Removed,Final.File.correct.TR,Final.in.Repo.int-g2,Final.in.Repo.empty_repo,Final.in.Repo.wrat,Final.in.Repo.common-grat,Final.in.Repo.bbi,Final.in.Repo.ncmain,Final.in.Repo.sup,Final.in.Repo.lrat,Final.in.Repo.tn-comps,Final.in.Repo.sync,Final.in.Repo.pm_fwk,Final.in.Repo.nci,Final.in.Repo.oamImmHandler,Final.in.Repo.oamcli,Final.in.Repo.oamgui,Final.in.Repo.racoam,Final.in.Repo.bb,Final.in.Repo.rcs-yocto,Final.in.Repo.rcs-test,Final.in.Repo.rbsiw1,Final.in.Repo.ebb,Final.in.Repo.common_hcms_rules,Final.in.Repo.dfl-mgr,Final.Files.We.Are.Scanning,Final.Num.files.empty,Final.Num.files.c++,Final.Num.files.xml,Final.Num.files.cs,Final.Num.files.py,Final.Num.files.php,Final.Num.files.java,Final.Num.files.js,Slash
CXP9024418/4_R2AFX,247,8,1,,,0.125,2,2,0,0,0,0,0,0,0,0,7789958,-3463434,53,G2,DS-,0,main,Development,3359,,40922,2895.6,17502.5,698359,449918,9,54,2016-01-21,HU48270|HU48490|HU48500|HU48760|HU48879|HU49935|HU49957|HU50871,HU45532,HU53060|HU54796,"",,50,,0,,228756,56299,"",,0,,,3,,,3102,321,6073,0,0.16,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3359,1981,1036,3017,342,0,2377,982,1964,187,2,13,1,210,0,0,0,88,,7636653,-3458213,39135,2842.7,16778.5,672448,433840,3101,6068,320,0,,,3312,1939,1031,2970,342,0,224448,55858,54,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2342,970,1931,186,2,13,1,209,0,4
CXP9024418/4_R2AGF,19,5,0,,,0,1,1,0,0,0,0,0,0,0,0,37151,-41674,191,G2,DS-,0,main,Development,48,,1436,72.9,755.6,27754,19194,2,0,2016-01-22,"","",HU52819,"",,50,,1,,1057,645,"",,1,,,3,,,462,21,747,0,0.1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,0,47,1,0,27,21,8,6,0,0,0,13,0,0,0,0,,37151,-41674,1436,72.9,755.6,27754,19194,462,747,21,0,,,48,47,0,47,1,0,1057,645,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,8,6,0,0,0,13,0,4
CXP9024418/4_R2AGG,15,8,0,,,0,6,4,0,0,0,0,0,0,2,0,176066,-2444,80,G2,DS-,0,main,Development,86,,1298,38.2,766,50000,14917,0,0,2016-01-22,"","",HU53278|HU54563|HU56559|HU58936,"",,50,,0,,5483,1231,"",,0,,,3,,,0,0,0,0,0.16,0,0,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,64,22,86,0,0,46,40,22,12,5,1,0,6,0,0,0,34,,120643,-1978,1195,29.7,751,36887,14062,0,0,0,0,,,69,53,16,69,0,0,3688,811,0,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,31,17,11,3,1,0,6,0,4
CXP9024418/4_R2AGH,11,6,0,,,0,1,1,1,0,0,0,0,0,0,0,175877,-15896,41,G2,DS-,0,main,Development,93,,1002,58.1,94.3,44187,12571,0,0,2016-01-22,"","",HU53921,"",,50,,0,,5396,963,"",,0,,,3,,,0,0,0,0,0.12,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,97,42,139,0,0,81,58,53,21,4,0,0,3,0,1,46,65,,76326,-4435,560,25.4,67.3,21335,5916,0,0,0,0,,,57,41,16,57,0,0,2389,477,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,19,6,2,0,0,3,0,4
CXP9024418/4_R2AGJ,53,7,0,,,0,13,10,0,1,0,0,0,0,2,0,575759,-105669,626,G2,DS-,0,main,Development,1008,,24152,4645.5,1200.7,639817,374185,3,10,2016-01-22,HU49681|HU50647|HU51859,"",HU53148|HU53827|HU54126|HU54722|HU55803|HU58161|HU62793|HU63400|HU65639|HV33064,"",,50,,0,,32868,21893,"",,1,,,3,,,158,4,0,0,0.14,1,0,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,987,18,1005,3,0,897,111,799,90,0,2,0,6,0,0,0,0,,575759,-105669,24152,4645.5,1200.7,639817,374185,158,0,4,0,,,1008,987,18,1005,3,0,32868,21893,10,1,0,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,897,111,799,90,0,2,0,6,0,4
CXP9024418/4_R2AGV,48,8,0,,,0,6,4,0,0,0,0,0,0,2,0,507290,-8127,52,G2,DS-,0,main,Development,281,,7330,347.5,1231.4,95819,70340,3,1,2016-01-24,HU48449,"",HU76238|HU77598|HU77611|HV25483,"",,50,,0,,12494,4883,"",,0,,,3,,,723,10,511,0,0.16,0,0,0,1,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,281,267,8,275,6,0,196,85,133,47,0,0,1,15,0,0,0,94,,347321,-8057,6356,286.9,1142.9,82557,60378,723,511,10,0,,,234,222,8,230,4,0,9567,3845,1,0,0,0,1,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165,69,104,45,0,0,1,15,0,4
CXP9024418/4_R2AHB,3,2,0,,,0,1,0,0,1,0,0,0,0,1,0,0,-40908,36,G2,"",0,main,Development,30,,2978,40.5,44.8,41156,28648,0,0,2016-01-25,"","","","",,50,,0,,12,132,"",,0,,,2,,,0,0,0,0,0.04,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,30,0,0,28,2,28,0,0,0,0,0,0,0,0,0,,0,-40908,2978,40.5,44.8,41156,28648,0,0,0,0,,,30,30,0,30,0,0,12,132,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,28,0,0,0,0,0,0,4
CXP9024418/4_R2AHD,17,3,0,,,0,3,1,0,1,0,0,0,0,1,0,462877,-4924,48,G2,DS-,0,main,Development,129,,4068,98.1,785,51114,33162,3,2,2016-01-25,HU48860|HU48894,"",HU54943,"",,50,,0,,9627,734,"",,0,,,3,,,0,0,0,0,0.06,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129,126,3,129,0,0,31,98,24,0,0,0,0,7,0,0,0,0,,462877,-4924,4068,98.1,785,51114,33162,0,0,0,0,,,129,126,3,129,0,0,9627,734,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,98,24,0,0,0,0,7,0,4
CXP9024418/4_R2AHF,28,7,0,,,0,2,2,0,0,0,0,0,0,0,0,324423,-33896,326,G2,DS-,0,main,Development,184,,3912,226.3,1486,81109,38691,1,2,2016-01-25,HU43344,"",HU53006|HU53221,"",,50,,0,,9127,3883,"",,0,,,3,,,318,56,1248,0,0.14,0,0,1,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,184,150,23,173,11,0,135,49,59,34,4,0,0,38,0,0,0,18,,316026,-33828,3811,215.2,1439.7,67870,37626,281,1102,49,0,,,175,141,23,164,11,0,8348,3256,2,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,126,49,59,31,2,0,0,34,0,4
CXP9024418/4_R2AHG,65,9,0,,,0,1,1,0,0,0,0,0,0,0,0,620598,-70704,35,G2,"",0,main,Development,406,,6577,375.2,947.4,170592,104488,6,19,2016-01-25,HU19969|HU48860|HU48894|HU49652|HU50689,"",HU53226,"",,50,,0,,15100,4829,"",,0,,,2,,,13,2,49,0,0.18,1,0,1,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,406,364,29,393,13,0,224,182,162,51,2,1,0,8,0,0,0,0,,620598,-70704,6577,375.2,947.4,170592,104488,13,49,2,0,,,406,364,29,393,13,0,15100,4829,19,1,0,0,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,224,182,162,51,2,1,0,8,0,4
CXP9024418/4_R2AHJ,28,5,0,,,0,0,0,0,0,1,1,0,0,0,0,147776,-335403,35,G2,"",0,main,Development,881,,2032,84.4,1613.5,52289,39038,0,0,2016-01-25,"","","",HU53638,,50,,0,,20884,16787,"",,0,,,2,,,1353,23,1180,0,0.1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,881,852,22,874,7,0,81,800,17,30,0,8,0,26,0,0,0,0,,147776,-335403,2032,84.4,1613.5,52289,39038,1353,1180,23,0,,,881,852,22,874,7,0,20884,16787,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81,800,17,30,0,8,0,26,0,4
CXP9024418/4_R2AHL,979,10,0,,,0,26,13,0,4,0,0,0,0,11,0,4309275,-1903431,606,G2,DS-,0,main,Development,2463,,35183,3100.5,11184.2,575664,354003,30,113,2016-01-25,HU19969|HU37968|HU41679|HU42544|HU43538|HU44004|HU45169|HU45187|HU45788|HU46079|HU46089|HU46415|HU46705|HU46845|HU47239|HU47457|HU48748|HU48774|HU48895|HU50276|HU50937|HU50939|HU51321|HU51543|HU52004|HU52346,"",HU52346|HU53116|HU53469|HU53771|HU54131|HU54490|HU54630|HU54811|HU54990|HU55093|HU55743|HU65294|HV28416,"",,50,,1,,91264,20512,"",,1,,,3,,,7047,583,13718,0,0.2,1,0,1,1,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2463,2006,267,2273,190,0,1289,1174,629,221,0,2,0,437,0,0,0,20,,4301895,-1902961,34631,3080.4,10743.2,568231,349350,7047,13718,583,0,,,2453,1996,267,2263,190,0,91036,20449,110,1,0,1,1,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1280,1173,620,221,0,2,0,437,0,4
CXP9024418/4_R2AJB,42,5,0,,,0,1,1,0,0,0,0,0,0,0,0,525857,-370577,88,G2,DS-,0,main,Development,187,,4192,163.7,2112.8,75766,53801,2,0,2016-01-26,"","",HU53390,"",,50,,1,,7208,3264,"",,0,,,3,,,1057,16,998,0,0.1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,187,153,22,175,12,0,133,54,61,49,0,0,0,23,0,0,0,11,,524833,-370478,3922,153.4,1911.5,72994,51916,1057,998,16,0,,,181,148,22,170,11,0,7156,3245,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,51,58,49,0,0,0,23,0,4
CXP9024418/4_R2AJD,58,9,1,,,0.111111111111111,7,4,0,0,0,0,0,0,3,0,239916,-477492,604,G2,DS-,0,main,Development,1008,,8056,175.8,1406.8,95296,56853,1,7,2016-01-26,HU51543,"",HU53702|HU53709|HU54042|HU54300,"",,50,,0,,23902,18561,"",,1,,,3,,,57,16,168,0,0.18,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1008,946,31,977,31,0,79,929,57,13,2,2,1,4,0,0,0,0,,239916,-477492,8056,175.8,1406.8,95296,56853,57,168,16,0,,,1008,946,31,977,31,0,23902,18561,7,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,79,929,57,13,2,2,1,4,0,4
CXP9024418/4_R2AJX,999,5,0,,,0,1,0,0,1,0,0,0,0,0,0,4270626,-1878902,61,G2,DS-,0,main,Development,2361,,28172,2449.5,9110.3,488618,322784,35,129,2016-01-27,HU37968|HU41679|HU42275|HU42544|HU43538|HU45169|HU45187|HU45788|HU46079|HU46089|HU46415|HU46705|HU46845|HU47239|HU47457|HU48748|HU48774|HU48895|HU49816|HU50276|HU50937|HU50939|HU51321|HU52004|HU53006|HU53116|HU53221|HU53226|HU53390,"","","",,50,,2,,95926,32127,"",,0,,,3,,,6470,493,11351,0,0.1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2361,1907,271,2178,183,0,1185,1176,592,248,0,2,0,343,0,0,0,0,,4270626,-1878902,28172,2449.5,9110.3,488618,322784,6470,11351,493,0,,,2361,1907,271,2178,183,0,95926,32127,129,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,1176,592,248,0,2,0,343,0,4
CXP9024418/4_R2AKB,98,10,0,,,0,1,0,0,0,0,0,0,0,1,0,4643054,-1364433,45,G2,DS-,0,main,Development,1311,,24237,1089.2,8447,422875,263386,6,28,2016-01-27,HU19969|HU44109|HU51543|HU52346|HU53116|HU53221,"","","",,50,,0,,118229,6115,"",,0,,,3,,,638,73,1656,0,0.2,1,0,0,1,1,2,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1329,494,732,1226,103,0,805,524,649,77,4,8,0,67,0,1,18,1012,,2536165,-875431,18545,767.2,6919.6,309369,188479,585,1585,70,0,,,805,369,377,746,59,0,64077,4958,28,1,0,0,1,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,514,291,380,57,4,8,0,65,0,4
